pack,id,english,german,turkish,scene
greetings,greetings_033,Give me a high five!,Gib mir ein Abklatschen!,Çak bir beşlik!,Two children high-fiving with big smiles
greetings,greetings_034,"Come here, please.",Komm bitte her.,"Buraya gel, lütfen.",A child gesturing for a friend to come closer
greetings,greetings_035,Good to see you!,"Schön, dich zu sehen!",Seni görmek güzel!,Two friends hugging happily when they meet
greetings,greetings_036,Long time no see!,Lange nicht gesehen!,Görüşmeyeli uzun zaman oldu!,Two friends surprised and happy to meet again
greetings,greetings_037,How is your day?,Wie ist dein Tag?,Günün nasıl?,A child asking a friend about their day on a bench
greetings,greetings_038,Have a good night!,Hab eine gute Nacht!,İyi geceler dilerim!,A child waving goodnight under a moon and stars
greetings,greetings_039,Sleep well!,Schlaf gut!,İyi uykular!,A child tucked into bed waving sleepily
greetings,greetings_040,Sweet dreams!,Süße Träume!,Tatlı rüyalar!,A sleeping child with a dream cloud above their head
greetings,greetings_041,"Hello, teacher!","Hallo, Lehrer!","Merhaba, öğretmenim!",A child greeting a teacher in front of a classroom
greetings,greetings_042,"Hello, friend!","Hallo, Freund!","Merhaba, arkadaşım!",Two friends greeting each other on the playground
greetings,greetings_043,"Good morning, Mom!","Guten Morgen, Mama!","Günaydın, anne!",A child hugging their mother in the morning
greetings,greetings_044,"Good morning, Dad!","Guten Morgen, Papa!","Günaydın, baba!",A child greeting their father at the breakfast table
greetings,greetings_045,"Hello, everyone!","Hallo, zusammen!",Herkese merhaba!,A child waving to a whole group of friends
greetings,greetings_046,Nice to see you again.,"Schön, dich wiederzusehen.",Seni tekrar görmek güzel.,Two friends smiling as they reunite
greetings,greetings_047,Let's shake hands.,Lass uns die Hände schütteln.,Hadi el sıkışalım.,Two children reaching out to shake hands
greetings,greetings_048,Say goodbye.,Sag auf Wiedersehen.,Hoşça kal de.,A child waving goodbye at the front door
greetings,greetings_049,Blow a kiss!,Wirf eine Kusshand!,Öpücük gönder!,A child blowing a kiss with a hand near the mouth
greetings,greetings_050,Have fun!,Viel Spaß!,İyi eğlenceler!,A child cheering as friends head off to play
eating,eating_001,I'm hungry.,Ich habe Hunger.,Acıktım.,A child holding their tummy looking at food
eating,eating_002,I'm thirsty.,Ich habe Durst.,Susadım.,A child reaching for a glass of water
eating,eating_003,I want water.,Ich möchte Wasser.,Su istiyorum.,A child pointing at a glass of water
eating,eating_004,I want milk.,Ich möchte Milch.,Süt istiyorum.,A child holding up a glass of milk
eating,eating_005,Let's eat!,Lass uns essen!,Hadi yiyelim!,A family sitting down at a table full of food
eating,eating_006,The food is yummy.,Das Essen ist lecker.,Yemek çok lezzetli.,A child smiling with a happy face while eating
eating,eating_007,"Can I have more, please?",Kann ich bitte mehr haben?,"Biraz daha alabilir miyim, lütfen?",A child holding up an empty plate asking for more
eating,eating_008,I'm full.,Ich bin satt.,Doydum.,"A child leaning back with a full, satisfied tummy"
eating,eating_009,I like apples.,Ich mag Äpfel.,Elmaları severim.,A child happily holding a red apple
eating,eating_010,I don't like onions.,Ich mag keine Zwiebeln.,Soğanı sevmem.,A child making a face while pushing onions aside
eating,eating_011,This is my breakfast.,Das ist mein Frühstück.,Bu benim kahvaltım.,A child pointing at a breakfast plate in the morning
eating,eating_012,It's time for lunch.,Es ist Zeit für das Mittagessen.,Öğle yemeği zamanı.,A child opening a lunchbox at midday
eating,eating_013,Dinner is ready.,Das Abendessen ist fertig.,Akşam yemeği hazır.,A steaming dinner on the table in the evening
eating,eating_014,Please pass the bread.,Reich mir bitte das Brot.,"Ekmeği uzatır mısın, lütfen?",A child reaching for a basket of bread at the table
eating,eating_015,I want an apple.,Ich möchte einen Apfel.,Bir elma istiyorum.,A child pointing at a single apple
eating,eating_016,Can I have a banana?,Kann ich eine Banane haben?,Bir muz alabilir miyim?,A child reaching toward a banana
eating,eating_017,The soup is hot.,Die Suppe ist heiß.,Çorba sıcak.,A steaming bowl of soup with rising heat
eating,eating_018,The ice cream is cold.,Das Eis ist kalt.,Dondurma soğuk.,A child holding a cold ice cream cone
eating,eating_019,I love chocolate.,Ich liebe Schokolade.,Çikolatayı çok severim.,A child smiling with a chocolate bar
eating,eating_020,Let's bake a cake.,Lass uns einen Kuchen backen.,Hadi kek yapalım.,A child mixing batter in a bowl in the kitchen
eating,eating_021,Wash your hands before eating.,Wasch deine Hände vor dem Essen.,Yemekten önce ellerini yıka.,A child washing hands at a sink before a meal
eating,eating_022,Use your fork.,Benutze deine Gabel.,Çatalını kullan.,A child holding a fork over a plate
eating,eating_023,Use your spoon.,Benutze deinen Löffel.,Kaşığını kullan.,A child holding a spoon over a bowl
eating,eating_024,Drink your juice.,Trink deinen Saft.,Meyve suyunu iç.,A child drinking from a glass of orange juice
eating,eating_025,Eat your vegetables.,Iss dein Gemüse.,Sebzelerini ye.,A plate of colorful vegetables in front of a child
eating,eating_026,The cookies are sweet.,Die Kekse sind süß.,Kurabiyeler tatlı.,A child enjoying a plate of cookies
eating,eating_027,I want some cheese.,Ich möchte etwas Käse.,Biraz peynir istiyorum.,A child pointing at a slice of cheese
eating,eating_028,"Pour the milk, please.",Gieß bitte die Milch ein.,"Sütü dök, lütfen.",A child pouring milk into a glass
eating,eating_029,This tastes good.,Das schmeckt gut.,Bunun tadı güzel.,A child with a delighted face after a bite
eating,eating_030,This is too spicy.,Das ist zu scharf.,Bu çok acı.,A child fanning their mouth after spicy food
eating,eating_031,I want breakfast.,Ich möchte Frühstück.,Kahvaltı istiyorum.,A child pointing at breakfast foods in the morning
eating,eating_032,May I leave the table?,Darf ich vom Tisch aufstehen?,Masadan kalkabilir miyim?,A child standing up from a finished meal at the table
eating,eating_033,"Set the table, please.",Deck bitte den Tisch.,"Sofrayı kur, lütfen.",A child placing plates and cutlery on a table
eating,eating_034,Let's have a picnic.,Lass uns ein Picknick machen.,Hadi piknik yapalım.,Children sitting on a blanket with food outdoors
eating,eating_035,The plate is empty.,Der Teller ist leer.,Tabak boş.,An empty plate on the table
eating,eating_036,The cup is full.,Die Tasse ist voll.,Bardak dolu.,A cup filled to the top with a drink
eating,eating_037,I want some soup.,Ich möchte etwas Suppe.,Biraz çorba istiyorum.,A child pointing at a bowl of soup
eating,eating_038,Eat slowly.,Iss langsam.,Yavaş ye.,A child calmly taking a small bite
eating,eating_039,Don't talk with your mouth full.,Sprich nicht mit vollem Mund.,Ağzın doluyken konuşma.,A child covering their mouth while chewing
eating,eating_040,Can I have a snack?,Kann ich einen Snack haben?,Bir atıştırmalık alabilir miyim?,A child reaching for a small snack between meals
eating,eating_041,The fruit is fresh.,Das Obst ist frisch.,Meyve taze.,"A bowl of bright, fresh fruit"
eating,eating_042,I want rice.,Ich möchte Reis.,Pilav istiyorum.,A child pointing at a plate of rice
eating,eating_043,"Pass the salt, please.",Reich mir bitte das Salz.,"Tuzu uzatır mısın, lütfen?",A child reaching for a salt shaker at the table
eating,eating_044,I'm a little hungry.,Ich habe ein bisschen Hunger.,Biraz açım.,A child touching their tummy with a small frown
eating,eating_045,Let's share the cake.,Lass uns den Kuchen teilen.,Hadi keki paylaşalım.,Two children splitting a slice of cake
eating,eating_046,Help me cook.,Hilf mir beim Kochen.,Yemek yapmama yardım et.,A child and a parent cooking together in the kitchen
eating,eating_047,The egg is warm.,Das Ei ist warm.,Yumurta ılık.,A child holding a warm boiled egg
eating,eating_048,I want a sandwich.,Ich möchte ein Sandwich.,Sandviç istiyorum.,A child pointing at a sandwich on a plate
eating,eating_049,Open your mouth.,Mach deinen Mund auf.,Ağzını aç.,A child opening their mouth for a spoonful of food
eating,eating_050,Thank you for the food.,Danke für das Essen.,Yemek için teşekkürler.,A child smiling and thanking a cook after a meal
playing,playing_001,Let's play!,Lass uns spielen!,Hadi oynayalım!,Two children running toward toys with big smiles
playing,playing_002,Can I play too?,Kann ich auch mitspielen?,Ben de oynayabilir miyim?,A child asking to join a group already playing
playing,playing_003,It's my turn.,Ich bin dran.,Sıra bende.,A child pointing at themselves during a board game
playing,playing_004,It's your turn.,Du bist dran.,Sıra sende.,A child pointing at a friend during a game
playing,playing_005,Throw the ball.,Wirf den Ball.,Topu at.,A child winding up to throw a ball
playing,playing_006,Catch the ball!,Fang den Ball!,Topu yakala!,A child reaching up to catch a flying ball
playing,playing_007,Kick the ball.,Kick den Ball.,Topa vur.,A child kicking a soccer ball with their foot
playing,playing_008,Let's run!,Lass uns rennen!,Hadi koşalım!,Two children running side by side outdoors
playing,playing_009,Let's jump!,Lass uns springen!,Hadi zıplayalım!,Children jumping up high together
playing,playing_010,I won the game!,Ich habe das Spiel gewonnen!,Oyunu kazandım!,A cheering child holding arms up in victory
playing,playing_011,You won!,Du hast gewonnen!,Sen kazandın!,A child pointing happily at a winning friend
playing,playing_012,Let's play again.,Lass uns nochmal spielen.,Hadi tekrar oynayalım.,Two children resetting a game to play once more
playing,playing_013,That was fun!,Das hat Spaß gemacht!,Çok eğlenceliydi!,Two children laughing together after a game
playing,playing_014,Let's go to the park.,Lass uns in den Park gehen.,Hadi parka gidelim.,Children walking toward a park with a playground
playing,playing_015,Push me on the swing.,Schubs mich auf der Schaukel.,Beni salıncakta it.,A child on a swing being pushed by a friend
playing,playing_016,Let's go down the slide.,Lass uns die Rutsche runterrutschen.,Hadi kaydıraktan kayalım.,A child sliding down a playground slide
playing,playing_017,Build a sandcastle.,Bau eine Sandburg.,Kumdan kale yap.,A child building a sandcastle in a sandbox
playing,playing_018,Let's play hide-and-seek.,Lass uns Verstecken spielen.,Hadi saklambaç oynayalım.,A child hiding behind a tree while another counts
playing,playing_019,Count to ten.,Zähl bis zehn.,Ona kadar say.,A child covering their eyes and counting on fingers
playing,playing_020,I found you!,Ich habe dich gefunden!,Seni buldum!,A child happily discovering a hiding friend
playing,playing_021,"Tag, you're it!","Fang mich, du bist dran!",Ebe sensin!,A child tagging another while running in a game of tag
playing,playing_022,Let's draw a picture.,Lass uns ein Bild malen.,Hadi resim çizelim.,A child drawing on paper with crayons
playing,playing_023,Color the picture.,Mal das Bild aus.,Resmi boya.,A child coloring inside a drawing with crayons
playing,playing_024,Let's build with blocks.,Lass uns mit Bausteinen bauen.,Hadi bloklarla yapı kuralım.,A child stacking colorful building blocks
playing,playing_025,Pass me the toy.,Reich mir das Spielzeug.,Oyuncağı bana ver.,A child handing a toy to a friend
playing,playing_026,Let's share the toys.,Lass uns die Spielsachen teilen.,Hadi oyuncakları paylaşalım.,Two children splitting a pile of toys fairly
playing,playing_027,Be careful!,Sei vorsichtig!,Dikkatli ol!,A child warning a friend near a wobbly tower
playing,playing_028,Wait for me!,Warte auf mich!,Beni bekle!,A child running to catch up with friends ahead
playing,playing_029,Let's ride bikes.,Lass uns Fahrrad fahren.,Hadi bisiklete binelim.,Children riding bicycles together
playing,playing_030,Let's play ball.,Lass uns Ball spielen.,Hadi top oynayalım.,Children tossing a ball back and forth
playing,playing_031,Can I borrow your toy?,Kann ich dein Spielzeug ausleihen?,Oyuncağını ödünç alabilir miyim?,A child asking a friend to borrow a toy
playing,playing_032,Let's play together.,Lass uns zusammen spielen.,Hadi birlikte oynayalım.,Several children playing happily as a group
playing,playing_033,Don't push.,Nicht schubsen.,İtme.,A child gently telling another not to push
playing,playing_034,Let's take turns.,Lass uns abwechseln.,Sırayla oynayalım.,Children lining up to take turns on a slide
playing,playing_035,Let's dance!,Lass uns tanzen!,Hadi dans edelim!,Children dancing happily to music
playing,playing_036,Let's sing a song.,Lass uns ein Lied singen.,Hadi şarkı söyleyelim.,Children singing together with open mouths
playing,playing_037,Clap your hands.,Klatsch in die Hände.,Ellerini çırp.,A child clapping hands together
playing,playing_038,Spin around.,Dreh dich im Kreis.,Etrafında dön.,A child spinning in a circle with arms out
playing,playing_039,Let's fly the kite.,Lass uns den Drachen steigen lassen.,Hadi uçurtma uçuralım.,A child flying a kite in a windy sky
playing,playing_040,Hop like a bunny.,Hüpf wie ein Hase.,Tavşan gibi zıpla.,A child hopping with hands up like bunny ears
playing,playing_041,Run fast!,Lauf schnell!,Hızlı koş!,A child sprinting quickly with motion lines
playing,playing_042,Stop here.,Halt hier an.,Burada dur.,A child stopping with a hand raised
playing,playing_043,Let's play with the dolls.,Lass uns mit den Puppen spielen.,Hadi bebeklerle oynayalım.,A child playing with dolls on the floor
playing,playing_044,Let's race!,Lass uns ein Rennen machen!,Hadi yarışalım!,Two children at a starting line ready to race
playing,playing_045,Roll the dice.,Würfle.,Zarı at.,A child rolling dice during a board game
playing,playing_046,It's a tie!,Es ist unentschieden!,Berabere!,Two children with equal scores shrugging happily
playing,playing_047,Good game!,Gutes Spiel!,İyi oyundu!,Two children shaking hands after a game
playing,playing_048,Let's play outside.,Lass uns draußen spielen.,Hadi dışarıda oynayalım.,Children running out the door to play outdoors
playing,playing_049,Let's play inside.,Lass uns drinnen spielen.,Hadi içeride oynayalım.,Children playing with toys indoors on a rainy day
playing,playing_050,Time to clean up the toys.,"Zeit, die Spielsachen aufzuräumen.",Oyuncakları toplama zamanı.,A child putting toys back into a toy box
feelings_body,feelings_body_001,I'm happy.,Ich bin glücklich.,Mutluyum.,A child with a big bright smile
feelings_body,feelings_body_002,I'm sad.,Ich bin traurig.,Üzgünüm.,A child with a sad face and a single tear
feelings_body,feelings_body_003,I'm tired.,Ich bin müde.,Yorgunum.,A child yawning and rubbing their eyes
feelings_body,feelings_body_004,I'm angry.,Ich bin wütend.,Kızgınım.,A child with crossed arms and a frowning face
feelings_body,feelings_body_005,I'm scared.,Ich habe Angst.,Korkuyorum.,A child hiding behind a blanket looking afraid
feelings_body,feelings_body_006,I'm excited.,Ich bin aufgeregt.,Heyecanlıyım.,A child jumping with sparkling excited eyes
feelings_body,feelings_body_007,I feel good.,Ich fühle mich gut.,İyi hissediyorum.,"A relaxed, smiling child giving a thumbs up"
feelings_body,feelings_body_008,I'm sleepy.,Ich bin schläfrig.,Uykum var.,A child with droopy eyes holding a teddy bear
feelings_body,feelings_body_009,I'm bored.,Mir ist langweilig.,Sıkıldım.,A child resting their chin on a hand looking bored
feelings_body,feelings_body_010,I'm surprised.,Ich bin überrascht.,Şaşırdım.,A child with wide eyes and an open mouth
feelings_body,feelings_body_011,I love you.,Ich liebe dich.,Seni seviyorum.,A child hugging a parent with a heart above them
feelings_body,feelings_body_012,I miss you.,Ich vermisse dich.,Seni özledim.,A child looking at a photo with a longing face
feelings_body,feelings_body_013,Don't cry.,Wein nicht.,Ağlama.,A child comforting a crying friend
feelings_body,feelings_body_014,It's okay.,Es ist okay.,Sorun değil.,A child gently reassuring another with a calm smile
feelings_body,feelings_body_015,I feel sick.,Mir ist schlecht.,Kendimi hasta hissediyorum.,A child lying down with a thermometer looking unwell
feelings_body,feelings_body_016,I'm cold.,Mir ist kalt.,Üşüyorum.,A child shivering and wrapped in a blanket
feelings_body,feelings_body_017,I'm hot.,Mir ist heiß.,Sıcakladım.,A child sweating and fanning themselves in the sun
feelings_body,feelings_body_018,I'm proud.,Ich bin stolz.,Gurur duyuyorum.,A child standing tall holding a gold star
feelings_body,feelings_body_019,I feel great.,Ich fühle mich großartig.,Harika hissediyorum.,A child jumping with both arms raised joyfully
feelings_body,feelings_body_020,I'm a little nervous.,Ich bin ein bisschen nervös.,Biraz gerginim.,A child fidgeting with hands and a worried smile
feelings_body,feelings_body_021,Give me a hug.,Umarme mich.,Bana sarıl.,A child reaching out with open arms for a hug
feelings_body,feelings_body_022,I want to rest.,Ich möchte mich ausruhen.,Dinlenmek istiyorum.,A child lying down to rest on a couch
feelings_body,feelings_body_023,Cheer up!,Kopf hoch!,Neşelen!,A child encouraging a sad friend to smile
feelings_body,feelings_body_024,Don't be afraid.,Hab keine Angst.,Korkma.,A child holding a friend's hand reassuringly
feelings_body,feelings_body_025,I'm so happy today.,Ich bin heute so glücklich.,Bugün çok mutluyum.,A beaming child with sunshine in the background
feelings_body,feelings_body_026,This is my head.,Das ist mein Kopf.,Bu benim kafam.,A child pointing to their own head
feelings_body,feelings_body_027,These are my eyes.,Das sind meine Augen.,Bunlar benim gözlerim.,A child pointing to both of their eyes
feelings_body,feelings_body_028,This is my nose.,Das ist meine Nase.,Bu benim burnum.,A child pointing to their nose
feelings_body,feelings_body_029,This is my mouth.,Das ist mein Mund.,Bu benim ağzım.,A child pointing to their open mouth
feelings_body,feelings_body_030,These are my ears.,Das sind meine Ohren.,Bunlar benim kulaklarım.,A child touching both ears
feelings_body,feelings_body_031,These are my hands.,Das sind meine Hände.,Bunlar benim ellerim.,A child holding up both hands
feelings_body,feelings_body_032,These are my feet.,Das sind meine Füße.,Bunlar benim ayaklarım.,A child pointing down at their bare feet
feelings_body,feelings_body_033,This is my arm.,Das ist mein Arm.,Bu benim kolum.,A child holding out and pointing to one arm
feelings_body,feelings_body_034,This is my leg.,Das ist mein Bein.,Bu benim bacağım.,A child pointing to their leg
feelings_body,feelings_body_035,This is my tummy.,Das ist mein Bauch.,Bu benim karnım.,A child patting their own tummy
feelings_body,feelings_body_036,My head hurts.,Mein Kopf tut weh.,Başım ağrıyor.,A child holding their head with a pained face
feelings_body,feelings_body_037,My tummy hurts.,Mein Bauch tut weh.,Karnım ağrıyor.,A child clutching their tummy and frowning
feelings_body,feelings_body_038,My tooth hurts.,Mein Zahn tut weh.,Dişim ağrıyor.,A child holding their cheek with a sore tooth
feelings_body,feelings_body_039,Touch your nose.,Berühr deine Nase.,Burnuna dokun.,A child touching the tip of their nose
feelings_body,feelings_body_040,Wiggle your fingers.,Wackel mit den Fingern.,Parmaklarını oynat.,A child wiggling all their fingers in the air
feelings_body,feelings_body_041,Stomp your feet.,Stampf mit den Füßen.,Ayaklarını yere vur.,A child stomping both feet on the ground
feelings_body,feelings_body_042,Open your eyes.,Mach deine Augen auf.,Gözlerini aç.,A child opening their eyes wide
feelings_body,feelings_body_043,Close your eyes.,Mach deine Augen zu.,Gözlerini kapat.,A child with both eyes closed gently
feelings_body,feelings_body_044,Wash your face.,Wasch dein Gesicht.,Yüzünü yıka.,A child washing their face with water
feelings_body,feelings_body_045,Brush your teeth.,Putz deine Zähne.,Dişlerini fırçala.,A child brushing teeth with a toothbrush
feelings_body,feelings_body_046,Comb your hair.,Kämm deine Haare.,Saçını tara.,A child combing their hair in front of a mirror
feelings_body,feelings_body_047,My hands are dirty.,Meine Hände sind schmutzig.,Ellerim kirli.,"A child showing muddy, dirty hands"
feelings_body,feelings_body_048,My hands are clean.,Meine Hände sind sauber.,Ellerim temiz.,"A child showing fresh, clean hands after washing"
feelings_body,feelings_body_049,I can smile.,Ich kann lächeln.,Gülümseyebilirim.,A child showing a big happy smile
feelings_body,feelings_body_050,Point to your knee.,Zeig auf dein Knie.,Dizini göster.,A child pointing down at their knee
